Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,,,,,,,,,,,,,,6,4.23118,,
,,,,,,,,,,,,,,,,6,4.2346,,
,,,,,,,,,,,,,,,,6,4.44373,,
,,,,,,,,,,,,,,,,7,5.7736,,
,,,,,,,,,,,,,,,,7,1.28226,,
,,,,,,,,,,,,,,,,7,2.74421,,
,,,,,,,,,,,,,,,,7,1.44033,,
,,,,,,,,,,,,,,,,7,1.36826,,
,,,,,,,,,,,,,,,,7,5.09663,,
,,,,,,,,,,,,,,,,8,,,
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,7,6,1,0.650857,0.224679,1.88543,0.91544,0.768587,0.599153,9.5851e+06,1.03767e+08,52.5496,31.0876,1,0.104753,1,8.40409,1,12.3727
,,,2,0.667099,0.198596,2.24083,0.954262,0.863075,0.566938,1.32203e+07,7.02027e+07,39.0228,24.5063,2,2.4845,1,0.245175,1,16.7956
